EicCode,EicDisplayName,EicLongName,EicParent,EicResponsibleParty,EicStatus,MarketParticipantPostalCode,MarketParticipantIsoCountryCode,MarketParticipantVatCode,EicTypeFunctionList,type
11W0-0000-0425-H,GM_HKW_DDREICKM2,GM HKW Dresden Reick Motor 2,,11XDREWAG------E,Active,,,,Generation,W
11W0-0000-0426-E,GM_HKW_DDREICKM3,GM HKW Dresden Reick Motor 3,,11XDREWAG------E,Active,,,,Generation,W
11W0-0000-0427-B,GM_HKW_DDREICKM4,GM HKW Dresden Reick Motor 4,,11XDREWAG------E,Active,,,,Generation,W
11W0-0000-0428-8,GM_HKW_DDREICKM5,GM HKW Dresden Reick Motor 5,,11XDREWAG------E,Active,,,,Generation,W
11W0-0000-0429-5,GM_HKW_DDREICKM6,GM HKW Dresden Reick Motor 6,,11XDREWAG------E,Active,,,,Generation,W
11W0-0000-0430-S,GM_HKW_DDREICKM7,GM HKW Dresden Reick Motor 7,,11XDREWAG------E,Active,,,,Generation,W
11WD2BHAS000271O,BREMEN_HASTEDT,Bremen Hastedt,,,Active,,,,Generation,W
11W0-0000-0431-P,GM_HKW_DDREICKM8,GM HKW Dresden Reick Motor 8,,11XDREWAG------E,Active,,,,Generation,W
11W0-0000-0432-M,CRYSTAL_ENBW,FSG Crystal EnBW,,,Active,,,,Gas Storage Facility,W
11W0-0000-0433-J,BAR_GENERATION,Bar Generation,,,Active,,,,Generation,W
11W0-0000-0434-G,SG_GENERATION,SG Generation,,,Active,,,,Generation,W
11W0-0000-0435-D,HH_HAR_GENERATIO,HH Har Generation,,,Active,,,,Generation,W
11W0-0000-0438-4,RIESA_BHKW2,Riesa BHKW 2,,,Active,,,,Generation,W
11W0-0000-0440-O,GT_BIBLIS,Gasturbinenkraftwerk Biblis,,11X0-0000-0563-P,Active,,,,Generation,W
11W0-0000-0441-L,BIBLIS_GT,Biblis Gasturbinen,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0467-W,SCHOLVEN_GUD,Scholven GuD-Anlage,,11XRUHRENERGIE-J,Active,,,,Generation Unit,W
11W0-0000-0474-0,HKW_LPZ_SUED,Heizkraftwerk Leipzig Süd,,,Active,,,,Production Unit,W
11W0-0000-0475-Y,HKW_LPZ_SUED_9A,Heizkraftwerk Leipzig Süd GTA 9A,,,Active,,,,Generation,W
11W0-0000-0476-V,HKW_LPZ_SUED_9B,Heizkraftwerk Leipzig Süd GTA 9B,,,Active,,,,Generation,W
11W0-0000-0492-Z,AO1,Arcadis Ost 1,,,Active,,,,Generation Unit,W
11W0-0000-0494-T,BREMEN_BHKW,Bremen Hastedt BHKW,,,Active,,,,Generation,W
11W0-0000-0495-Q,GER_BAT_1,Batterie 117+ Gersteinwerk,,11XRWETRADING--0,Active,,,,Storage Plant,W
11W0-0000-0496-N,EMS_BAT_1,Batterie 117+ Emsland,,11XRWETRADING--0,Active,,,,Storage Plant,W
11W0-0000-0503-Q,GAMOR,Gasmotorenkraftwerk Roemerbruecke,,11XESLL--------Z,Active,,,,Generation,W
11W0-0000-0512-P,KASKASI,RWE Kaskasi GmbH,,,Active,,,,Generation,W
11W0-0000-0513-M,KASKASI-2,RWE Kaskasi GmbH,,,Active,,,,Generation,W
11W0-0000-0515-G,D4_GKM_BL6BL7BL8,GKM_Pool_Block_6_Block_7_Block_8,,11XGKM-P-------6,Active,,,,Generation,W
11W0-0000-0516-D,PV_INDEN_BATTERY,PVA Inden Battery ,,,Active,,,,Production Unit,W
11W0-0000-0518-7,WP_GREVENBROICH,Windpark Grevenbroich,,,Active,,,,Generation Unit,W
11W0-0000-0519-4,PV_GARZWEILER,PVA Garzweiler,,,Active,,,,Production Unit,W
11W0-0000-0520-R,BATTERY_GARZW,Battery Garzweiler,,,Active,,,,Production Unit,W
11W0-0000-0638-V,BOITZENBURGER_PV,Boitzenburger Land,,11XMAINOVA-----9,Active,,,,Generation Unit,W
11W0-0000-0647-U,GBS-BEXBACH_2,GBS-BEXBACH_2,,11X0-0000-0706-U,Active,,,,Storage Plant,W
11W0-0000-0648-R,GBS-WEIHER,GBS-WEIHER,,11X0-0000-0706-U,Active,,,,Storage Plant,W
11W0-0000-0649-O,GBS-HERNE,GBS-HERNE,,11X0-0000-0706-U,Active,,,,Storage Plant,W
11W0-0000-0651-7,GBS-WALSUM,GBS-WALSUM,,11X0-0000-0706-U,Active,,,,Storage Plant,W
11W0-0000-0652-4,GBS-BEXBACH,GBS-BEXBACH,,11X0-0000-0706-U,Active,,,,Storage Plant,W
